"track_id","track_name","track_number","track_popularity","explicit","artist_name","artist_popularity","artist_followers","artist_genres","album_id","album_name","album_release_date","album_total_tracks","album_type","track_duration_min"
"7DpUoxGSdlDHfqCYj0otzU","BITTERSUITE","9","76","FALSE","Billie Eilish","90","118728633","alternative pop, electropop, dark pop","7aJuG4TFXa2hmE4z1yxc3n","HIT ME HARD AND SOFT","2024-05-17","10","album","4.97"
"1orWJSHmbn7JttLxOYr1R5","The Fame","7","45","FALSE","Lady Gaga","89","42275793","art pop, pop","6rePArBMb5nLWEaY9aQqL4","The Fame Monster (Deluxe Edition)","2009-11-05","23","album","3.7"
"5oQNTH2WkhdsCEETc5XriH","CASTLE OF GLASS","10","44","FALSE","Linkin Park","88","31796892","nu metal, rap metal, rock, alternative metal","1X472EvsSqH09RyrqbtyXU","Papercuts","2024-04-12","20","album","3.42"
"4UGvqm3e7UElrrriPtnhwz","Habits","1","0","FALSE","Genevieve Stokes","49","135787","N/A","4KKuhABzFkGE9UAucodfUo","Habits","2022-08-12","1","single","2.27"
"10xV5l9nhLvFpR8mqzs0bL","Numb","1","70","FALSE","Marshmello","80","34476607","edm","3SBeYxkc3Ce7lanK0f3epk","Numb","2022-06-10","1","single","2.59"
"09LrGvT9KsACH66RHYMDyR","Don’t Smile","12","77","FALSE","Sabrina Carpenter","91","26559943","pop","3iPSVi54hsacKKl1xIR2eH","Short n' Sweet","2024-08-23","12","album","3.43"
"6RQ5IwG7uADz9LDWliJGjU","Special","16","67","TRUE","SZA","87","33043825","r&b","07w0rG5TETcyihsEIZR3qG","SOS","2022-12-09","23","album","2.64"
"3fzDcbJZC7HoTHeH2Z1R4A","The Best Day","6","40","FALSE","George Strait","72","5161216","country, classic country, traditional country, honky tonk","2syxP3j7sO6A5NiRPt37H3","Best Of (Deluxe Edition)","2011-01-01","22","compilation","3.31"
"5eFxwmqKrHpSQDOEIFYlgY","Animal I Have Become","3","76","FALSE","Three Days Grace","77","7297885","post-grunge, rock","4ohPMPeZukCChC6xNJpeYx","One-X","2006-06-13","13","album","3.85"
"2jrMjstPcrgWx9ZUIV8qmW","I Kill Spiders","1","35","FALSE","Libby Ember","19","181","N/A","3rwRrvZIMD9kyc5y1qUbP8","I Kill Spiders","2025-09-19","4","single","3.69"
"5Jh1i0no3vJ9u4deXkb4aV","so american","17","73","TRUE","Olivia Rodrigo","85","49083617","pop rock, alternative pop, pop punk","1D06fz3cuob62ysTS8k6gu","GUTS (spilled)","2024-03-22","17","album","2.82"
" northern soul"," quiet storm,67Eq3nfl1km9s5ig76Cc8B,United,1967-08-29,12,album,2.52
0AIgBzLYBfU1DIFgPb3EJh,A Man a Horse a Gun - The Stranger Returns - Shoot First Laugh Last - Titles,1,29,FALSE,Stelvio Cipriani,48,42604,N/A,5Lf4Xae6WCQrqNlBbjUpL0,A Man a Horse a Gun: The Stranger Returns (Original Motion Picture Soundtrack),1967-06-30,5,single,3.75
6PrKZUXJPmBiobMN44yR8Y,The Ecstasy Of Gold - 2004 Remaster,20,62,FALSE,Ennio Morricone,65,1324293,soundtrack,1oLT2HO5MVNS8U4kEuBvdJ,The Good"," The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)],1967-06-30,21,album,3.38
1JSIWsJfxOji0FrxFcxdCK,The Good"," The Bad And The Ugly - 2004 Remaster,1,60,FALSE,Ennio Morricone,65,1324293,soundtrack,1oLT2HO5MVNS8U4kEuBvdJ,The Good"," The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)],1967-06-30,21,album,2.7
6tGtkJtXZytZhugipYJTCj,The Trio - 2004 Remaster,21,44,FALSE,Ennio Morricone,65,1324293,soundtrack,1oLT2HO5MVNS8U4kEuBvdJ,The Good"," The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)],1967-06-30,21,album,5.04
1S1JlOrGDpkbVhWCsOjUIh,Fuga A Cavallo,4,39,FALSE,Ennio Morricone,65,1324548,soundtrack,1oLT2HO5MVNS8U4kEuBvdJ,The Good"," The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)],1967-06-30,21,album,1.11
711sUHL5feGZQ4HZai697P,Inseguimento,7,41,FALSE,Ennio Morricone,65,1324293,soundtrack,1oLT2HO5MVNS8U4kEuBvdJ,The Good"," The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)],1967-06-30,21,album,2.41
4vpeKl0vMGdAXpZiQB2Dtd,White Rabbit,10,68,FALSE,Jefferson Airplane,56,1741839,psychedelic rock"," acid rock,6lPb7Eoon6QPbscWbMsk6a,Surrealistic Pillow,1967-06-30,17,album,2.51
0wJoRiX5K5BxlqZTolB2LD,Purple Haze,1,67,FALSE,Jimi Hendrix,66,7367979,psychedelic rock"," classic rock"," acid rock"," blues rock,7rSZXXHHvIhF4yUFdaOCy9,Are You Experienced,1967-05-12,17,album,2.84
05c5EePexW3UVTUTsBPdTq,Fast Women"," Slow Horses and Wine,10,8,FALSE,Charlie Walker,29,10863,honky tonk"," classic country"," traditional country,1Ix2HmX5ZF1PLYN9jJN1wj,Don't Squeeze My Sharmon,1967-01-01,10,album,2.43
6OiXHMVgq95x3GDIe7MMA0,The Dolphins,1,43,FALSE,Fred Neil,37,40485,singer-songwriter"
"0MrTtNjPbu7fMVPeqrlTII","tweaker - Acoustic","1","0","FALSE","raysoo","10","355","N/A","5sONJDT1XjwRxtPgfYK0yO","tweaker (Acoustic)","2025-02-10","1","single","2.12"
